seqnames,start,end,width,strand,peak.ID,peak.score,TE.chr,TE.start,TE.end,TE.ID,TE.score,TE.strand,TE.fam,TE.sfam,peak.overlap,is.duplicated.peak,TE.fam.v2,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME,annotation.v2
chr1,3455157,3455875,719,*,MACS_peak_26,756.81,chr1,3455541,3455592,L2d,0,-,LINE/L2,L2d,51,FALSE,LINE/L2,"Intron (uc001akl.3/1953, intron 4 of 36)",1,3404506,3448012,43507,2,1953,uc001akk.3,-7145,ENSG00000162591,MEGF6,multiple EGF like domains 6,Intron
chr1,3490832,3491278,447,*,MACS_peak_28,146.95,chr1,3491199,3491505,AluSx1,0,-,SINE/Alu,AluSx1,79,FALSE,SINE/Alu,"Intron (uc001akl.3/1953, intron 4 of 36)",1,3477260,3477354,95,2,693135,uc021ofa.1,-13478,ENSG00000207776,MIR551A,microRNA 551a,Intron
chr1,3512396,3512994,599,*,MACS_peak_29,201.39,,,,No.TE,,,No.TE,No.TE,,,No.TE,"Intron (uc001akl.3/1953, intron 2 of 36)",1,3404506,3528059,123554,2,1953,uc001akl.3,15065,ENSG00000162591,MEGF6,multiple EGF like domains 6,Intron
chr1,5780332,5780683,352,*,MACS_peak_31,95.16,chr1,5780509,5780588,L2c,0,+,LINE/L2,L2c,79,FALSE,LINE/L2,Distal Intergenic,1,5922732,5922801,70,2,100616421,uc021ofn.1,142118,ENSG00000264101,MIR4689,microRNA 4689,Distal Intergenic
chr1,6120256,6120670,415,*,MACS_peak_32,202.95,,,,No.TE,,,No.TE,No.TE,,,No.TE,"Intron (uc009vlv.2/8514, intron 3 of 15)",1,6105981,6161253,55273,1,8514,uc009vlw.2,14275,ENSG00000069424,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2,Intron
chr1,6195267,6195626,360,*,MACS_peak_33,231.33,,,,No.TE,,,No.TE,No.TE,,,No.TE,"Exon (uc001ama.2/26038, exon 7 of 31)",1,6161847,6191808,29962,2,26038,uc001alz.2,-3459,ENSG00000116254,CHD5,chromodomain helicase DNA binding protein 5,Exon
chr1,6202653,6203024,372,*,MACS_peak_34,112.77,chr1,6202728,6203048,L2b,0,+,LINE/L2,L2b,296,FALSE,LINE/L2,"Exon (uc001ama.2/26038, exon 3 of 31)",1,6161847,6204215,42369,2,26038,uc001ama.2,1191,ENSG00000116254,CHD5,chromodomain helicase DNA binding protein 5,Exon
chr1,6211140,6211801,662,*,MACS_peak_35,542.2,chr1,6211375,6211748,L2b,0,+,LINE/L2,L2b,373,FALSE,LINE/L2,"Exon (uc001amb.2/26038, exon 7 of 42)",1,6181165,6206931,25767,2,26038,uc001amc.1,-4209,ENSG00000116254,CHD5,chromodomain helicase DNA binding protein 5,Exon
chr1,6554542,6555031,490,*,MACS_peak_37,810.31,chr1,6554714,6554862,L2d,0,+,LINE/L2,L2d,148,FALSE,LINE/L2,"Intron (uc001ann.1/57449, intron 1 of 20)",1,6526152,6556756,30605,2,57449,uc001ann.1,1725,ENSG00000171680,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5,Intron
chr1,7536039,7536831,793,*,MACS_peak_39,156.18,chr1,7536407,7536520,L2d,0,-,LINE/L2,L2d,113,FALSE,LINE/L2,"Intron (uc001aoi.3/23261, intron 6 of 22)",1,7732054,7805082,73029,1,23261,uc010nzv.1,-195223,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1,Intron
chr1,7696573,7697431,859,*,MACS_peak_40,591.84,chr1,7696495,7696786,AluSq2,0,+,SINE/Alu,AluSq2,213,FALSE,SINE/Alu,"Intron (uc001aoi.3/23261, intron 6 of 22)",1,7732054,7805082,73029,1,23261,uc010nzv.1,-34623,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1,Intron
chr1,8406514,8406884,371,*,MACS_peak_42,448.39,chr1,8406731,8406855,MIRb,0,-,SINE/MIR,MIRb,124,FALSE,SINE/MIR,Downstream (2-3kb),1,8390198,8404227,14030,1,50651,uc001apc.3,16316,ENSG00000162426,SLC45A1,solute carrier family 45 member 1,Exon
chr1,9353484,9354002,519,*,MACS_peak_43,90.57,,,,No.TE,,,No.TE,No.TE,,,No.TE,Promoter,1,9352941,9429590,76650,1,80176,uc010oae.2,543,ENSG00000171621,SPSB1,splA/ryanodine receptor domain and SOCS box containing 1,Promoter
chr1,9377052,9377631,580,*,MACS_peak_44,1015.63,chr1,9377235,9377388,L2d,0,-,LINE/L2,L2d,153,FALSE,LINE/L2,"Intron (uc010oae.2/80176, intron 1 of 2)",1,9352941,9429590,76650,1,80176,uc010oae.2,24111,ENSG00000171621,SPSB1,splA/ryanodine receptor domain and SOCS box containing 1,Intron
chr1,9885541,9886266,726,*,MACS_peak_45,188.58,chr1,9886006,9886195,MIRb,0,+,SINE/MIR,MIRb,189,FALSE,SINE/MIR,Promoter,1,9789079,9884550,95472,2,22883,uc010oag.2,-991,ENSG00000171603,CLSTN1,calsyntenin 1,Promoter
chr1,10399012,10399786,775,*,MACS_peak_47,363.43,chr1,10399204,10399406,L2c,0,-,LINE/L2,L2c,202,FALSE,LINE/L2,"Intron (uc001aqw.4/23095, intron 29 of 46)",1,10459085,10480201,21117,1,5226,uc001arc.3,-59299,ENSG00000142657,PGD,phosphogluconate dehydrogenase,Intron
chr1,10793462,10794185,724,*,MACS_peak_48,425.55,chr1,10793501,10793772,L2b,0,-,LINE/L2,L2b,271,FALSE,LINE/L2,"Intron (uc001aro.4/54897, intron 2 of 20)",1,10713041,10754507,41467,2,54897,uc009vmx.2,-38955,ENSG00000130940,CASZ1,castor zinc finger 1,Intron
chr1,10808545,10809186,642,*,MACS_peak_49,159.76,chr1,10808471,10808673,MIRb,0,-,SINE/MIR,MIRb,128,FALSE,SINE/MIR,"Intron (uc001aro.4/54897, intron 2 of 20)",1,10696666,10856733,160068,2,54897,uc001aro.4,47547,ENSG00000130940,CASZ1,castor zinc finger 1,Intron
chr1,10864750,10865149,400,*,MACS_peak_51,80.4,chr1,10864782,10865137,L2c,0,+,LINE/L2,L2c,355,FALSE,LINE/L2,Distal Intergenic,1,10707263,10856733,149471,2,54897,uc001arp.2,-8017,ENSG00000130940,CASZ1,castor zinc finger 1,Distal Intergenic
chr1,10878092,10878641,550,*,MACS_peak_52,198.84,chr1,10878076,10878387,AluSx1,0,-,SINE/Alu,AluSx1,295,FALSE,SINE/Alu,Distal Intergenic,1,10707263,10856733,149471,2,54897,uc001arp.2,-21359,ENSG00000130940,CASZ1,castor zinc finger 1,Distal Intergenic
chr1,10930560,10931423,864,*,MACS_peak_53,710.54,chr1,10930759,10930901,L2a,0,-,LINE/L2,L2a,142,FALSE,LINE/L2,Distal Intergenic,1,10707263,10856733,149471,2,54897,uc001arp.2,-73827,ENSG00000130940,CASZ1,castor zinc finger 1,Distal Intergenic
chr1,10957154,10957941,788,*,MACS_peak_54,196.81,chr1,10957281,10957403,L2d2,0,+,LINE/L2,L2d2,122,FALSE,LINE/L2,Distal Intergenic,1,11006530,11024328,17799,2,148345,uc001arr.2,66387,ENSG00000175262,C1orf127,chromosome 1 open reading frame 127,Distal Intergenic
chr1,10968455,10969168,714,*,MACS_peak_55,259.49,chr1,10968398,10969039,L2a,0,+,LINE/L2,L2a,584,FALSE,LINE/L2,Distal Intergenic,1,11006530,11024328,17799,2,148345,uc001arr.2,55160,ENSG00000175262,C1orf127,chromosome 1 open reading frame 127,Distal Intergenic
chr1,10994191,10994730,540,*,MACS_peak_56,120.31,chr1,10994053,10994306,AluSz,0,+,SINE/Alu,AluSz,115,FALSE,SINE/Alu,Distal Intergenic,1,11006530,11024328,17799,2,148345,uc001arr.2,29598,ENSG00000175262,C1orf127,chromosome 1 open reading frame 127,Distal Intergenic
chr1,11025836,11026678,843,*,MACS_peak_57,361.05,chr1,11026013,11026238,L2b,0,-,LINE/L2,L2b,225,FALSE,LINE/L2,"Exon (uc010oao.2/148345, exon 4 of 13)",1,11006530,11024328,17799,2,148345,uc001ars.2,-1508,ENSG00000175262,C1orf127,chromosome 1 open reading frame 127,Exon
chr1,11117375,11118143,769,*,MACS_peak_59,155.35,chr1,11117833,11118135,AluSx,0,-,SINE/Alu,AluSx,302,FALSE,SINE/Alu,"Intron (uc001arz.1/6723, intron 3 of 7)",1,11114649,11120091,5443,2,6723,uc001arz.1,1948,ENSG00000116649,SRM,spermidine synthase,Intron
chr1,11355107,11355510,404,*,MACS_peak_60,85.11,chr1,11355243,11355321,L2b,0,-,LINE/L2,L2b,78,FALSE,LINE/L2,Distal Intergenic,1,11333255,11348491,15237,1,29914,uc001asg.3,21852,ENSG00000120942,UBIAD1,UbiA prenyltransferase domain containing 1,Distal Intergenic
chr1,11419710,11420371,662,*,MACS_peak_61,152.94,chr1,11419724,11420049,L2b,0,-,LINE/L2,L2b,325,FALSE,LINE/L2,Distal Intergenic,1,11333255,11348491,15237,1,29914,uc001asg.3,86455,ENSG00000120942,UBIAD1,UbiA prenyltransferase domain containing 1,Distal Intergenic
chr1,11476542,11477255,714,*,MACS_peak_62,128.2,chr1,11476692,11477198,L2c,0,+,LINE/L2,L2c,506,FALSE,LINE/L2,Distal Intergenic,1,11539295,11541938,2644,1,57540,uc009vmz.1,-62040,ENSG00000204624,DISP3,dispatched RND transporter family member 3,Distal Intergenic
chr1,11487334,11488091,758,*,MACS_peak_63,95.32,chr1,11487872,11487993,MIR1_Amn,0,-,SINE/MIR,MIR1_Amn,121,FALSE,SINE/MIR,Distal Intergenic,1,11539295,11541938,2644,1,57540,uc009vmz.1,-51204,ENSG00000204624,DISP3,dispatched RND transporter family member 3,Distal Intergenic
chr1,11593914,11594360,447,*,MACS_peak_65,195.63,chr1,11593941,11594256,L2b,0,-,LINE/L2,L2b,315,FALSE,LINE/L2,"Intron (uc001ash.4/57540, intron 17 of 20)",1,11561047,11586928,25882,1,57540,uc001asi.1,32867,ENSG00000204624,DISP3,dispatched RND transporter family member 3,Intron
chr1,11681183,11681746,564,*,MACS_peak_66,163.98,chr1,11681210,11681419,MER102c,0,+,DNA/hAT-Charlie,MER102c,209,FALSE,Other.TE,Distal Intergenic,1,11709144,11714401,5258,2,26232,uc009vnb.1,32655,ENSG00000116661,FBXO2,F-box protein 2,Distal Intergenic
chr1,11693909,11694541,633,*,MACS_peak_67,199.31,chr1,11693998,11694350,L2c,0,-,LINE/L2,L2c,352,FALSE,LINE/L2,Distal Intergenic,1,11709144,11714401,5258,2,26232,uc009vnb.1,19860,ENSG00000116661,FBXO2,F-box protein 2,Distal Intergenic
chr1,11710350,11711647,1298,*,MACS_peak_68,478.1,chr1,11711235,11711450,L2b,0,+,LINE/L2,L2b,215,FALSE,LINE/L2,"Exon (uc001asj.3/26232, exon 2 of 6)",1,11709144,11714401,5258,2,26232,uc009vnb.1,2754,ENSG00000116661,FBXO2,F-box protein 2,Exon
chr1,11766181,11766814,634,*,MACS_peak_69,247.23,chr1,11766014,11766230,MER20,0,-,DNA/hAT-Charlie,MER20,49,FALSE,Other.TE,5' UTR,1,11751781,11780336,28556,1,374946,uc001asr.1,14400,ENSG00000162490,DRAXIN,dorsal inhibitory axon guidance protein,Exon
chr1,11768492,11769334,843,*,MACS_peak_70,515.64,chr1,11768642,11768846,MIRb,0,+,SINE/MIR,MIRb,204,FALSE,SINE/MIR,"Exon (uc001asr.1/374946, exon 3 of 7)",1,11751781,11780336,28556,1,374946,uc001asr.1,16711,ENSG00000162490,DRAXIN,dorsal inhibitory axon guidance protein,Exon
chr1,12002293,12002880,588,*,MACS_peak_72,280.6,chr1,12002791,12002951,MER5B,0,+,DNA/hAT-Charlie,MER5B,89,FALSE,Other.TE,"Intron (uc001atm.3/5351, intron 1 of 18)",1,11994724,12035599,40876,1,5351,uc010obb.2,7569,ENSG00000083444,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",Intron
chr1,12017759,12018442,684,*,MACS_peak_74,384.74,,,,No.TE,,,No.TE,No.TE,,,No.TE,"Exon (uc001atm.3/5351, exon 8 of 19)",1,12040238,12073572,33335,1,9927,uc001atn.4,-21796,ENSG00000116688,MFN2,mitofusin 2,Exon
chr1,12199108,12199982,875,*,MACS_peak_77,274.37,chr1,12199129,12199665,L2b,0,+,LINE/L2,L2b,536,FALSE,LINE/L2,"Intron (uc001atq.3/943, intron 14 of 14)",1,12185958,12204264,18307,1,943,uc001ats.3,13150,ENSG00000120949,TNFRSF8,TNF receptor superfamily member 8,Intron
chr1,12247978,12248816,839,*,MACS_peak_78,118.77,chr1,12248285,12248520,L2c,0,-,LINE/L2,L2c,235,FALSE,LINE/L2,"Intron (uc001att.3/7133, intron 1 of 9)",1,12251762,12251839,78,1,100616438,uc021ogi.1,-2946,ENSG00000263676,MIR4632,microRNA 4632,Intron
chr1,12248950,12249859,910,*,MACS_peak_79,768.64,chr1,12249627,12250146,L2a,0,-,LINE/L2,L2a,232,FALSE,LINE/L2,"Exon (uc001att.3/7133, exon 2 of 10)",1,12251762,12251839,78,1,100616438,uc021ogi.1,-1903,ENSG00000263676,MIR4632,microRNA 4632,Exon
chr1,12601803,12602626,824,*,MACS_peak_81,153.54,chr1,12602086,12602467,L2b,0,+,LINE/L2,L2b,381,FALSE,LINE/L2,Distal Intergenic,1,12567300,12567451,152,1,677882,uc001atz.1,34503,ENSG00000239149,SNORA59B,"small nucleolar RNA, H/ACA box 59B",Distal Intergenic
chr1,12630253,12630799,547,*,MACS_peak_82,380.66,chr1,12630367,12630443,L2b,0,+,LINE/L2,L2b,76,FALSE,LINE/L2,"Intron (uc001aub.3/9249, intron 5 of 5)",1,12640551,12656106,15556,2,9249,uc001aue.1,25307,ENSG00000162496,DHRS3,dehydrogenase/reductase 3,Intron
chr1,12663790,12664597,808,*,MACS_peak_83,220.3,chr1,12664013,12664163,Charlie4z,0,+,DNA/hAT-Charlie,Charlie4z,150,FALSE,Other.TE,"Intron (uc001aub.3/9249, intron 1 of 5)",1,12640551,12656106,15556,2,9249,uc001aue.1,-7684,ENSG00000162496,DHRS3,dehydrogenase/reductase 3,Intron
chr1,15222159,15222728,570,*,MACS_peak_87,190.16,chr1,15222538,15222848,AluSc,0,-,SINE/Alu,AluSc,190,FALSE,SINE/Alu,"Intron (uc009vog.1/23254, intron 1 of 7)",1,15250625,15394651,144027,1,23254,uc001avo.2,-27897,ENSG00000189337,KAZN,"kazrin, periplakin interacting protein",Intron
chr1,15384144,15384897,754,*,MACS_peak_88,334.41,chr1,15384431,15384645,L2c,0,+,LINE/L2,L2c,214,FALSE,LINE/L2,"Intron (uc009vog.1/23254, intron 5 of 7)",1,15427704,15444544,16841,1,23254,uc001avs.4,-42807,ENSG00000189337,KAZN,"kazrin, periplakin interacting protein",Intron
chr1,15693888,15694598,711,*,MACS_peak_89,332.75,chr1,15694297,15694451,L2c,0,+,LINE/L2,L2c,154,FALSE,LINE/L2,"Exon (uc001awb.2/114827, exon 24 of 31)",1,15684287,15690812,6526,1,114827,uc001awf.3,9601,ENSG00000142621,FHAD1,forkhead associated phosphopeptide binding domain 1,Exon
chr1,15774076,15774702,627,*,MACS_peak_90,175.45,chr1,15774417,15774605,L2c,0,-,LINE/L2,L2c,188,FALSE,LINE/L2,Downstream (<1kb),1,15783223,15798586,15364,1,63036,uc001awk.3,-8521,ENSG00000142615,CELA2A,chymotrypsin like elastase 2A,Distal Intergenic
chr1,16338548,16339305,758,*,MACS_peak_92,576.06,chr1,16338548,16338802,AluJb,0,-,SINE/Alu,AluJb,254,FALSE,SINE/Alu,Distal Intergenic,1,16340523,16345285,4763,2,27129,uc001axo.2,5980,ENSG00000173641,HSPB7,heat shock protein family B (small) member 7,Distal Intergenic
chr1,16345578,16346248,671,*,MACS_peak_93,287.01,chr1,16345714,16346020,L2d2,0,+,LINE/L2,L2d2,306,FALSE,LINE/L2,Promoter,1,16340523,16346089,5567,2,27129,uc001axs.2,0,ENSG00000173641,HSPB7,heat shock protein family B (small) member 7,Promoter
chr1,16386700,16387350,651,*,MACS_peak_94,520.37,chr1,16387011,16387137,L2d,0,-,LINE/L2,L2d,126,FALSE,LINE/L2,"Intron (uc001axz.4/348487, intron 4 of 6)",1,16375257,16383821,8565,1,1188,uc001axy.5,11443,ENSG00000184908,CLCNKB,chloride voltage-gated channel Kb,Intron
chr1,16442920,16443614,695,*,MACS_peak_95,252.14,chr1,16443012,16443431,L2b,0,+,LINE/L2,L2b,419,FALSE,LINE/L2,Distal Intergenic,1,16450832,16482582,31751,2,1969,uc001aya.2,38968,ENSG00000142627,EPHA2,EPH receptor A2,Distal Intergenic
chr1,16449274,16450610,1337,*,MACS_peak_96,676.71,chr1,16450191,16450507,MIRb,0,+,SINE/MIR,MIRb,316,FALSE,SINE/MIR,Distal Intergenic,1,16450832,16482582,31751,2,1969,uc001aya.2,31972,ENSG00000142627,EPHA2,EPH receptor A2,Distal Intergenic
chr1,16508621,16509322,702,*,MACS_peak_98,136,chr1,16508892,16509011,L2a,0,-,LINE/L2,L2a,119,FALSE,LINE/L2,Distal Intergenic,1,16524599,16533705,9107,2,128272,uc009voo.2,24383,ENSG00000142632,ARHGEF19,Rho guanine nucleotide exchange factor 19,Distal Intergenic
chr1,16516453,16517171,719,*,MACS_peak_99,601.25,chr1,16516864,16517502,L1ME3A,0,-,LINE/L1,L1ME3A,307,FALSE,Other.TE,Distal Intergenic,1,16524599,16533705,9107,2,128272,uc009voo.2,16534,ENSG00000142632,ARHGEF19,Rho guanine nucleotide exchange factor 19,Distal Intergenic
chr1,16536877,16537770,894,*,MACS_peak_100,500.13,chr1,16537109,16537292,L2b,0,-,LINE/L2,L2b,183,FALSE,LINE/L2,"Intron (uc001ayc.1/128272, intron 1 of 15)",1,16524599,16539104,14506,2,128272,uc001ayc.1,1334,ENSG00000142632,ARHGEF19,Rho guanine nucleotide exchange factor 19,Intron
chr1,16539288,16539981,694,*,MACS_peak_101,163.16,chr1,16539956,16540071,MIR,0,-,SINE/MIR,MIR,25,FALSE,SINE/MIR,Promoter,1,16524599,16539104,14506,2,128272,uc001ayc.1,-184,ENSG00000142632,ARHGEF19,Rho guanine nucleotide exchange factor 19,Promoter
chr1,16775806,16776461,656,*,MACS_peak_103,187.56,chr1,16775782,16776105,L2c,0,-,LINE/L2,L2c,299,FALSE,LINE/L2,"Intron (uc001ayo.3/55707, intron 5 of 7)",1,16782290,16786584,4295,1,55707,uc021ogo.1,-5829,ENSG00000157191,NECAP2,NECAP endocytosis associated 2,Intron
chr1,16892474,16893899,1426,*,MACS_peak_105,94.51,,,,No.TE,,,No.TE,No.TE,,,No.TE,3' UTR,1,16875409,16875482,74,1,100500876,uc021ogu.1,17065,ENSG00000263811,MIR3675,microRNA 3675,Exon
chr1,17035117,17035667,551,*,MACS_peak_106,108.41,chr1,17035218,17035446,L2b,0,+,LINE/L2,L2b,228,FALSE,LINE/L2,"Intron (uc001azn.1/284729, intron 1 of 10)",1,17017713,17046652,28940,2,284729,uc001azn.1,10985,,ESPNP,espin pseudogene,Intron
chr1,17264826,17265675,850,*,MACS_peak_109,296.1,,,,No.TE,,,No.TE,No.TE,,,No.TE,Promoter,1,17266389,17299474,33086,1,9696,uc001azu.2,-714,ENSG00000058453,CROCC,"ciliary rootlet coiled-coil, rootletin",Promoter
chr1,17270068,17270719,652,*,MACS_peak_110,145.22,,,,No.TE,,,No.TE,No.TE,,,No.TE,5' UTR,1,17266389,17299474,33086,1,9696,uc001azu.2,3679,ENSG00000058453,CROCC,"ciliary rootlet coiled-coil, rootletin",Exon
chr1,17286938,17287452,515,*,MACS_peak_111,114.49,chr1,17286796,17287014,MIR,0,+,SINE/MIR,MIR,76,FALSE,SINE/MIR,"Exon (uc001azt.2/9696, exon 27 of 37)",1,17294698,17299474,4777,1,9696,uc001azv.2,-7246,ENSG00000058453,CROCC,"ciliary rootlet coiled-coil, rootletin",Exon
chr1,17402855,17403256,402,*,MACS_peak_112,80.04,chr1,17403068,17403371,AluSc,0,-,SINE/Alu,AluSc,188,FALSE,SINE/Alu,"Intron (uc001baf.3/11240, intron 11 of 15)",1,17345225,17380665,35441,2,6390,uc001bae.3,-22190,ENSG00000117118,SDHB,succinate dehydrogenase complex iron sulfur subunit B,Intron
chr1,17429473,17430018,546,*,MACS_peak_113,221.92,,,,No.TE,,,No.TE,No.TE,,,No.TE,"Exon (uc001baf.3/11240, exon 3 of 16)",1,17393256,17445948,52693,2,11240,uc001baf.3,15930,ENSG00000117115,PADI2,peptidyl arginine deiminase 2,Exon
chr1,17439176,17439967,792,*,MACS_peak_114,453.43,chr1,17439399,17439701,L2d2,0,+,LINE/L2,L2d2,302,FALSE,LINE/L2,"Intron (uc001baf.3/11240, intron 1 of 15)",1,17393256,17445948,52693,2,11240,uc001baf.3,5981,ENSG00000117115,PADI2,peptidyl arginine deiminase 2,Intron
chr1,17440820,17441575,756,*,MACS_peak_115,152.14,chr1,17441059,17441445,L2b,0,-,LINE/L2,L2b,386,FALSE,LINE/L2,"Intron (uc001baf.3/11240, intron 1 of 15)",1,17393256,17445948,52693,2,11240,uc001baf.3,4373,ENSG00000117115,PADI2,peptidyl arginine deiminase 2,Intron
chr1,17493921,17494587,667,*,MACS_peak_116,626.52,chr1,17493453,17494101,L2a,0,+,LINE/L2,L2a,180,FALSE,LINE/L2,Distal Intergenic,1,17531621,17572501,40881,1,29943,uc001bah.1,-37034,ENSG00000142623,PADI1,peptidyl arginine deiminase 1,Distal Intergenic
chr1,17521251,17522003,753,*,MACS_peak_117,154.15,chr1,17521469,17521638,L2b,0,-,LINE/L2,L2b,169,FALSE,LINE/L2,Distal Intergenic,1,17531621,17572501,40881,1,29943,uc001bah.1,-9618,ENSG00000142623,PADI1,peptidyl arginine deiminase 1,Distal Intergenic
